[12/15/23 01:51:00] [INFO] received Windows console close event; shutting log-core down
[12/15/23 01:52:49] [INFO] received Windows console close event; shutting log-core down
[12/15/23 01:56:47] [INFO] received Windows console close event; shutting log-core down
[12/15/23 02:00:33] [INFO] received Windows console close event; shutting log-core down
[12/15/23 02:05:57] [INFO] received Windows console close event; shutting log-core down
[12/15/23 02:10:00] [INFO] received Windows console close event; shutting log-core down
[12/15/23 17:54:06] [INFO] received Windows console close event; shutting log-core down
[12/15/23 17:54:12] [INFO] received Windows console close event; shutting log-core down
[12/15/23 17:55:39] [INFO] received Windows console close event; shutting log-core down
[12/15/23 17:56:05] [INFO] received Windows console close event; shutting log-core down
[12/15/23 22:26:03] [INFO] received Windows console close event; shutting log-core down
[12/15/23 22:29:08] [INFO] received Windows console close event; shutting log-core down
[12/15/23 22:35:02] [INFO] received Windows console close event; shutting log-core down
[12/15/23 22:38:57] [INFO] received Windows console close event; shutting log-core down
[12/15/23 22:49:31] [INFO] received Windows console close event; shutting log-core down
[12/15/23 22:51:16] [INFO] received Windows console close event; shutting log-core down
[12/15/23 22:52:55] [INFO] received Windows console close event; shutting log-core down
[12/15/23 22:58:28] [INFO] received Windows console close event; shutting log-core down
[12/16/23 00:16:02] [INFO] received Windows console close event; shutting log-core down
[12/16/23 00:18:09] [INFO] received Windows console close event; shutting log-core down
[12/16/23 04:57:17] [INFO] received Windows console close event; shutting log-core down
[12/16/23 05:57:05] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/16/23 05:58:53] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/16/23 06:01:17] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/16/23 06:15:01] [INFO] received Windows console close event; shutting log-core down
[12/16/23 06:22:21] [INFO] received Windows console close event; shutting log-core down
[12/17/23 23:49:17] [INFO] received Windows console close event; shutting log-core down
[12/18/23 00:35:34] [INFO] received Windows console close event; shutting log-core down
[12/18/23 00:36:45] [INFO] received Windows console close event; shutting log-core down
[12/18/23 03:55:07] [INFO] received Windows console close event; shutting log-core down
[12/18/23 04:42:54] [INFO] received Windows console close event; shutting log-core down
[12/18/23 07:20:27] [INFO] received Windows console close event; shutting log-core down
